date,close,high,low,open,volume,year,month
2015-01-01 00:00:00+05:30,490,492.55,480.6,485.4,604947,2015,Jan
2015-01-02 00:00:00+05:30,492.4,497,490,491.3,1006286,2015,Jan
2015-01-05 00:00:00+05:30,500.55,506.55,490.7,491.1,1441527,2015,Jan
2015-01-06 00:00:00+05:30,496.75,517.9,484.2,495.6,2822168,2015,Jan
2015-01-07 00:00:00+05:30,492.35,507.55,482,500,1665081,2015,Jan
2015-01-08 00:00:00+05:30,511.75,514,498.8,499.3,1217449,2015,Jan
2015-01-09 00:00:00+05:30,506.65,520.75,498,516,1852057,2015,Jan
2015-01-12 00:00:00+05:30,514.54,522.4,510,510.65,1885648,2015,Jan
2015-01-13 00:00:00+05:30,496.7,518.79,494.95,517.95,1181967,2015,Jan
2015-01-14 00:00:00+05:30,491.35,498.7,486,498.5,933231,2015,Jan
2015-01-15 00:00:00+05:30,500.9,504.85,486,500,1301413,2015,Jan
2015-01-16 00:00:00+05:30,500.3,506.5,492.4,498.5,1153856,2015,Jan
2015-01-19 00:00:00+05:30,506.3,512,500.15,502,1218109,2015,Jan
2015-01-20 00:00:00+05:30,506.5,510,502.65,508.7,1010208,2015,Jan
2015-01-21 00:00:00+05:30,506.15,508.9,499.75,507,983547,2015,Jan
2015-01-22 00:00:00+05:30,518.6,522,506.5,507,1246821,2015,Jan
2015-01-23 00:00:00+05:30,563.85,574.4,524.29,525,6971858,2015,Jan
2015-01-27 00:00:00+05:30,561.29,572.7,554.29,563.95,1856900,2015,Jan
2015-01-28 00:00:00+05:30,557.2,580.35,551,554,2131036,2015,Jan
2015-01-29 00:00:00+05:30,583.4,595.75,557.2,558,5797584,2015,Jan
2015-01-30 00:00:00+05:30,627.29,646,564.1,593.4,10006572,2015,Jan
2015-02-02 00:00:00+05:30,654.79,662.6,639.1,651,6391851,2015,Feb
2015-02-03 00:00:00+05:30,641.6,655.45,634.1,655.29,1829676,2015,Feb
2015-02-04 00:00:00+05:30,648.29,664.4,632.85,641.95,3147420,2015,Feb
2015-02-05 00:00:00+05:30,622.85,652.5,619.4,652,2379061,2015,Feb
2015-02-06 00:00:00+05:30,627.35,643.9,623.04,625,2006883,2015,Feb
2015-02-09 00:00:00+05:30,609.2,634.5,605,610,1530644,2015,Feb
2015-02-10 00:00:00+05:30,634.95,639.4,600.04,606,2525908,2015,Feb
2015-02-11 00:00:00+05:30,661.5,666.8,637,640,2937300,2015,Feb
2015-02-12 00:00:00+05:30,684.35,687,664,664.85,2995135,2015,Feb
2015-02-13 00:00:00+05:30,671.9,689.7,667.8,687.4,1719339,2015,Feb
2015-02-16 00:00:00+05:30,663,685.1,657.5,674.2,1766248,2015,Feb
2015-02-18 00:00:00+05:30,665.75,675,661.5,665.4,1042726,2015,Feb
2015-02-19 00:00:00+05:30,692.25,701.35,665.2,670.95,2536010,2015,Feb
2015-02-20 00:00:00+05:30,687.4,707.7,680,699,2108022,2015,Feb
2015-02-23 00:00:00+05:30,679.85,693,674.1,690,1064381,2015,Feb
2015-02-24 00:00:00+05:30,712.2,714.7,679.55,679.55,2902695,2015,Feb
2015-02-25 00:00:00+05:30,695.9,719.45,694,717,2077426,2015,Feb
2015-02-26 00:00:00+05:30,688.05,704,681,696.1,2372115,2015,Feb
2015-02-27 00:00:00+05:30,711.35,713.3,687.9,692.2,1968517,2015,Feb
2015-03-02 00:00:00+05:30,709.9,716,690,702,1345964,2015,Mar
2015-03-03 00:00:00+05:30,721.8,727.5,707.1,713.5,1672000,2015,Mar
2015-03-04 00:00:00+05:30,704.3,728.65,700,727.95,1480166,2015,Mar
