date,close,high,low,open,volume,year,month
2015-01-01 00:00:00+05:30,128.65,132.25,128.0,131.0,293920,2015,Jan
2015-01-02 00:00:00+05:30,127.55,129.8,126.7,129.15,435600,2015,Jan
2015-01-05 00:00:00+05:30,125.85,128.4,125.25,126.8,315660,2015,Jan
2015-01-06 00:00:00+05:30,122.95,125.3,121.55,125.0,377240,2015,Jan
2015-01-07 00:00:00+05:30,122.85,124.1,120.8,123.0,731140,2015,Jan
2015-01-08 00:00:00+05:30,129.0,129.8,123.0,123.0,872680,2015,Jan
2015-01-09 00:00:00+05:30,127.9,129.95,127.55,129.4,327840,2015,Jan
2015-01-12 00:00:00+05:30,126.75,128.6,125.5,125.5,196780,2015,Jan
2015-01-13 00:00:00+05:30,128.65,130.8,127.0,127.5,580420,2015,Jan
2015-01-14 00:00:00+05:30,125.4,128.85,123.8,128.0,2587050,2015,Jan
2015-01-15 00:00:00+05:30,128.9,129.8,127.2,129.5,1368270,2015,Jan
2015-01-16 00:00:00+05:30,126.75,130.3,125.5,129.8,810480,2015,Jan
2015-01-19 00:00:00+05:30,125.8,128.6,125.1,127.3,325300,2015,Jan
2015-01-20 00:00:00+05:30,132.2,134.5,126.0,126.0,1360140,2015,Jan
2015-01-21 00:00:00+05:30,129.25,133.65,128.9,132.45,1004960,2015,Jan
2015-01-22 00:00:00+05:30,129.8,131.8,128.05,128.85,378310,2015,Jan
2015-01-23 00:00:00+05:30,131.2,132.9,129.6,130.25,255020,2015,Jan
2015-01-27 00:00:00+05:30,137.55,139.7,130.8,131.7,1055220,2015,Jan
2015-01-28 00:00:00+05:30,145.05,149.9,138.0,138.05,2744860,2015,Jan
2015-01-29 00:00:00+05:30,146.0,147.0,142.5,145.35,1059650,2015,Jan
2015-01-30 00:00:00+05:30,144.75,148.0,139.8,145.8,726130,2015,Jan
2015-02-02 00:00:00+05:30,150.95,152.25,142.9,144.3,2714020,2015,Feb
2015-02-03 00:00:00+05:30,146.85,153.15,145.55,150.9,667360,2015,Feb
2015-02-04 00:00:00+05:30,147.15,151.0,145.25,147.3,501620,2015,Feb
2015-02-05 00:00:00+05:30,147.6,150.9,146.05,147.2,216290,2015,Feb
2015-02-06 00:00:00+05:30,146.9,150.85,146.25,147.7,308180,2015,Feb
2015-02-09 00:00:00+05:30,144.95,147.4,143.35,145.4,181200,2015,Feb
2015-02-10 00:00:00+05:30,143.65,147.1,140.25,144.0,330010,2015,Feb
2015-02-11 00:00:00+05:30,141.05,145.0,140.8,144.1,182820,2015,Feb
2015-02-12 00:00:00+05:30,149.9,151.1,141.5,141.5,653460,2015,Feb
2015-02-13 00:00:00+05:30,151.1,154.0,149.9,149.9,728530,2015,Feb
2015-02-16 00:00:00+05:30,148.35,154.6,145.5,151.0,974540,2015,Feb
2015-02-18 00:00:00+05:30,148.4,150.5,145.5,146.9,485050,2015,Feb
2015-02-19 00:00:00+05:30,146.7,149.7,141.95,148.9,236600,2015,Feb
2015-02-20 00:00:00+05:30,147.15,148.6,146.2,147.2,138300,2015,Feb
2015-02-23 00:00:00+05:30,143.55,150.0,141.7,147.6,4213950,2015,Feb
2015-02-24 00:00:00+05:30,143.0,146.8,141.3,144.8,310620,2015,Feb
2015-02-25 00:00:00+05:30,143.1,145.8,142.6,143.5,220350,2015,Feb
2015-02-26 00:00:00+05:30,139.95,144.75,139.1,143.6,392490,2015,Feb
2015-02-27 00:00:00+05:30,142.2,143.0,140.3,140.4,518850,2015,Feb
2015-03-02 00:00:00+05:30,145.15,147.6,141.15,141.2,705830,2015,Mar
2015-03-03 00:00:00+05:30,148.5,151.0,145.0,145.6,2472640,2015,Mar
2015-03-04 00:00:00+05:30,147.0,151.35,145.8,149.5,933390,2015,Mar
2015-03-05 00:00:00+05:30,152.9,157.4,147.3,147.5,3075300,2015,Mar
2015-03-09 00:00:00+05:30,147.05,152.9,146.2,152.7,1599670,2015,Mar
2015-03-10 00:00:00+05:30,145.7,147.6,144.1,147.5,922780,2015,Mar
2015-03-11 00:00:00+05:30,145.85,150.0,145.0,145.8,398460,2015,Mar
2015-03-12 00:00:00+05:30,147.95,149.15,147.3,147.3,2048440,2015,Mar
2015-03-13 00:00:00+05:30,150.1,156.4,146.6,152.5,2585500,2015,Mar
2015-03-16 00:00:00+05:30,145.2,150.45,143.1,150.45,1027980,2015,Mar
2015-03-17 00:00:00+05:30,146.95,149.5,145.2,145.75,1134190,2015,Mar
