date,close,high,low,open,volume,year,month
2015-01-01 00:00:00+05:30,56.1,56.5,55.15,55.45,2369712,2015,Jan
2015-01-02 00:00:00+05:30,55.75,56.6,55.65,56.35,2576334,2015,Jan
2015-01-05 00:00:00+05:30,56.35,57.0,55.65,55.9,3609636,2015,Jan
2015-01-06 00:00:00+05:30,55.75,56.8,55.3,56.6,6695466,2015,Jan
2015-01-07 00:00:00+05:30,55.85,56.25,54.95,55.7,5033676,2015,Jan
2015-01-08 00:00:00+05:30,57.25,57.6,55.55,56.0,6903468,2015,Jan
2015-01-09 00:00:00+05:30,56.95,57.85,56.3,57.6,5975934,2015,Jan
2015-01-12 00:00:00+05:30,56.6,57.15,56.35,56.85,3371664,2015,Jan
2015-01-13 00:00:00+05:30,56.7,57.45,56.5,56.85,3154920,2015,Jan
2015-01-14 00:00:00+05:30,55.95,56.9,55.85,56.45,6252006,2015,Jan
2015-01-15 00:00:00+05:30,56.0,56.65,55.2,56.05,5139942,2015,Jan
2015-01-16 00:00:00+05:30,56.1,56.55,55.3,55.85,3205026,2015,Jan
2015-01-19 00:00:00+05:30,56.15,56.5,55.6,55.85,2680494,2015,Jan
2015-01-20 00:00:00+05:30,56.15,56.65,55.9,56.6,6894174,2015,Jan
2015-01-21 00:00:00+05:30,55.0,56.0,54.7,55.9,7234560,2015,Jan
2015-01-22 00:00:00+05:30,55.3,55.75,54.8,55.0,4218228,2015,Jan
2015-01-23 00:00:00+05:30,55.15,55.6,54.45,55.5,6999720,2015,Jan
2015-01-27 00:00:00+05:30,55.2,56.1,54.8,55.15,4426986,2015,Jan
2015-01-28 00:00:00+05:30,56.35,56.55,54.95,55.35,4967310,2015,Jan
2015-01-29 00:00:00+05:30,58.05,58.25,56.25,56.25,9173550,2015,Jan
2015-01-30 00:00:00+05:30,57.9,59.15,57.25,58.35,7563918,2015,Jan
2015-02-02 00:00:00+05:30,56.65,57.85,56.05,57.85,4004154,2015,Feb
2015-02-03 00:00:00+05:30,55.15,56.8,55.0,56.6,4498716,2015,Feb
2015-02-04 00:00:00+05:30,55.85,56.55,54.8,55.1,3698868,2015,Feb
2015-02-05 00:00:00+05:30,55.8,57.9,55.25,56.0,6130278,2015,Feb
2015-02-06 00:00:00+05:30,54.6,56.0,54.2,55.5,3406980,2015,Feb
2015-02-09 00:00:00+05:30,53.25,54.35,53.0,54.15,2651808,2015,Feb
2015-02-10 00:00:00+05:30,51.85,53.75,51.15,53.15,4442352,2015,Feb
2015-02-11 00:00:00+05:30,53.0,53.3,51.85,52.0,3489960,2015,Feb
2015-02-12 00:00:00+05:30,52.55,53.7,52.25,53.3,3180714,2015,Feb
2015-02-13 00:00:00+05:30,51.7,53.45,51.15,52.6,18408060,2015,Feb
2015-02-16 00:00:00+05:30,53.0,53.75,51.65,51.65,9525126,2015,Feb
2015-02-18 00:00:00+05:30,55.35,55.65,52.2,53.15,8377482,2015,Feb
2015-02-19 00:00:00+05:30,57.2,57.7,55.35,55.55,8171526,2015,Feb
2015-02-20 00:00:00+05:30,55.5,57.2,55.35,57.0,3424692,2015,Feb
2015-02-23 00:00:00+05:30,56.3,56.4,55.2,55.85,4955406,2015,Feb
2015-02-24 00:00:00+05:30,54.8,56.7,54.7,56.65,3983460,2015,Feb
2015-02-25 00:00:00+05:30,54.55,55.4,54.4,55.0,2422044,2015,Feb
2015-02-26 00:00:00+05:30,54.6,54.9,54.0,54.9,5910174,2015,Feb
2015-02-27 00:00:00+05:30,55.6,55.8,54.25,54.7,3876978,2015,Feb
2015-03-02 00:00:00+05:30,58.45,59.3,56.15,56.45,14421294,2015,Mar
2015-03-03 00:00:00+05:30,59.4,59.85,57.45,58.2,6942954,2015,Mar
2015-03-04 00:00:00+05:30,56.85,59.8,56.35,59.65,4021098,2015,Mar
2015-03-05 00:00:00+05:30,58.1,58.3,56.5,56.85,5449146,2015,Mar
2015-03-09 00:00:00+05:30,58.35,58.6,57.25,58.25,4896720,2015,Mar
2015-03-10 00:00:00+05:30,57.7,58.15,56.75,58.0,3703890,2015,Mar
2015-03-11 00:00:00+05:30,56.85,58.3,56.35,57.6,4312578,2015,Mar
2015-03-12 00:00:00+05:30,57.65,57.95,56.55,56.6,4008762,2015,Mar
2015-03-13 00:00:00+05:30,56.5,58.1,56.3,57.95,3182934,2015,Mar
2015-03-16 00:00:00+05:30,56.9,57.7,56.65,56.85,3185022,2015,Mar
2015-03-17 00:00:00+05:30,57.85,58.6,56.9,57.45,7264404,2015,Mar
2015-03-18 00:00:00+05:30,58.3,59.0,57.9,58.35,11856552,2015,Mar
2015-03-19 00:00:00+05:30,58.4,59.35,57.85,58.5,6286308,2015,Mar
2015-03-20 00:00:00+05:30,57.35,58.75,57.0,58.35,4130466,2015,Mar
2015-03-23 00:00:00+05:30,57.0,57.6,56.85,57.4,1617660,2015,Mar
2015-03-24 00:00:00+05:30,57.9,58.45,56.9,57.15,3244128,2015,Mar
2015-03-25 00:00:00+05:30,58.65,58.9,57.75,58.0,3513276,2015,Mar
2015-03-26 00:00:00+05:30,58.25,59.35,57.85,58.5,7019994,2015,Mar
2015-03-27 00:00:00+05:30,57.75,58.85,56.75,58.25,3753294,2015,Mar
2015-03-30 00:00:00+05:30,59.1,59.35,57.85,58.15,2952924,2015,Mar
2015-03-31 00:00:00+05:30,61.45,62.55,59.25,59.25,13902816,2015,Mar
2015-04-01 00:00:00+05:30,61.75,62.45,61.4,61.65,5079258,2015,Apr
2015-04-06 00:00:00+05:30,62.35,62.6,61.45,61.6,3780102,2015,Apr
2015-04-07 00:00:00+05:30,62.05,62.5,61.7,62.35,6784962,2015,Apr
2015-04-08 00:00:00+05:30,62.85,64.35,61.7,62.0,16499136,2015,Apr
2015-04-09 00:00:00+05:30,62.5,63.85,62.1,63.3,5714130,2015,Apr
2015-04-10 00:00:00+05:30,62.5,63.3,62.0,62.65,4706664,2015,Apr
2015-04-13 00:00:00+05:30,62.85,63.65,62.0,62.0,4241178,2015,Apr
2015-04-15 00:00:00+05:30,62.15,63.45,61.85,62.5,4252992,2015,Apr
2015-04-16 00:00:00+05:30,60.65,62.25,59.75,61.65,3800088,2015,Apr
2015-04-17 00:00:00+05:30,59.9,61.35,59.75,60.65,3117276,2015,Apr
2015-04-20 00:00:00+05:30,59.9,60.65,59.2,59.55,5612826,2015,Apr
2015-04-21 00:00:00+05:30,59.2,60.35,58.9,59.55,2566998,2015,Apr
2015-04-22 00:00:00+05:30,60.6,61.05,59.2,59.5,5996208,2015,Apr
2015-04-23 00:00:00+05:30,61.4,61.95,60.6,61.1,7098750,2015,Apr
2015-04-24 00:00:00+05:30,59.3,61.85,59.05,61.25,6135828,2015,Apr
2015-04-27 00:00:00+05:30,58.25,59.65,57.55,59.55,3226470,2015,Apr
2015-04-28 00:00:00+05:30,58.6,59.6,57.75,58.6,6696174,2015,Apr
2015-04-29 00:00:00+05:30,58.3,59.4,58.0,58.65,4432842,2015,Apr
2015-04-30 00:00:00+05:30,60.2,60.8,57.95,58.35,6674658,2015,Apr
2015-05-04 00:00:00+05:30,60.8,61.55,59.7,61.4,4222446,2015,May
2015-05-05 00:00:00+05:30,60.7,61.15,59.7,60.9,3672384,2015,May
2015-05-06 00:00:00+05:30,56.05,60.45,55.85,60.45,10602486,2015,May
2015-05-07 00:00:00+05:30,55.15,56.65,54.4,56.5,7405134,2015,May
2015-05-08 00:00:00+05:30,55.9,56.8,55.45,55.6,4109454,2015,May
2015-05-11 00:00:00+05:30,56.5,56.6,55.8,56.15,3700230,2015,May
2015-05-12 00:00:00+05:30,55.4,57.0,54.35,57.0,7172562,2015,May
2015-05-13 00:00:00+05:30,55.85,56.05,53.9,55.1,9560850,2015,May
2015-05-14 00:00:00+05:30,55.65,56.0,54.5,56.0,6036018,2015,May
2015-05-15 00:00:00+05:30,56.1,56.6,55.45,55.6,3221058,2015,May
2015-05-18 00:00:00+05:30,57.25,57.65,56.4,56.45,5454390,2015,May
2015-05-19 00:00:00+05:30,57.45,58.0,56.95,57.35,2608722,2015,May
2015-05-20 00:00:00+05:30,57.25,57.9,57.0,57.85,2337354,2015,May
2015-05-21 00:00:00+05:30,58.15,58.3,56.95,57.5,3420252,2015,May
2015-05-22 00:00:00+05:30,58.1,58.45,57.6,58.15,3376914,2015,May
2015-05-25 00:00:00+05:30,58.15,58.95,57.7,58.35,2749308,2015,May
2015-05-26 00:00:00+05:30,57.95,58.3,57.2,58.2,2215770,2015,May
2015-05-27 00:00:00+05:30,59.8,60.0,57.65,57.75,4154688,2015,May
2015-05-28 00:00:00+05:30,60.1,60.5,59.35,60.0,5864682,2015,May
2015-05-29 00:00:00+05:30,59.35,62.45,59.0,60.35,18899490,2015,May
2015-06-01 00:00:00+05:30,59.15,60.1,58.8,59.5,5566392,2015,Jun
2015-06-02 00:00:00+05:30,58.2,59.35,57.9,59.15,3776832,2015,Jun
2015-06-03 00:00:00+05:30,56.5,58.5,56.05,58.35,4770900,2015,Jun
2015-06-04 00:00:00+05:30,58.4,58.65,56.65,56.65,8533614,2015,Jun
2015-06-05 00:00:00+05:30,59.15,59.5,57.75,58.4,5735328,2015,Jun
2015-06-08 00:00:00+05:30,58.5,59.1,58.15,59.05,2293350,2015,Jun
2015-06-09 00:00:00+05:30,58.3,58.75,58.05,58.15,6162282,2015,Jun
2015-06-10 00:00:00+05:30,57.75,59.0,57.6,58.15,3381372,2015,Jun
2015-06-11 00:00:00+05:30,56.65,58.25,56.45,58.25,5151732,2015,Jun
2015-06-12 00:00:00+05:30,58.45,58.65,56.95,57.0,7314138,2015,Jun
2015-06-15 00:00:00+05:30,58.9,59.65,58.4,58.65,3728760,2015,Jun
2015-06-16 00:00:00+05:30,59.45,60.3,58.35,58.9,5125608,2015,Jun
2015-06-17 00:00:00+05:30,58.6,60.0,58.4,59.4,3122154,2015,Jun
2015-06-18 00:00:00+05:30,62.4,62.75,58.95,59.1,14889402,2015,Jun
2015-06-19 00:00:00+05:30,63.75,64.15,62.0,62.8,16321680,2015,Jun
2015-06-22 00:00:00+05:30,63.85,64.15,63.4,63.75,5891028,2015,Jun
2015-06-23 00:00:00+05:30,66.35,66.65,63.2,63.7,11631498,2015,Jun
2015-06-24 00:00:00+05:30,65.0,67.0,64.5,66.35,7436352,2015,Jun
2015-06-25 00:00:00+05:30,64.75,65.15,64.0,64.65,12037014,2015,Jun
2015-06-26 00:00:00+05:30,64.1,65.0,63.5,64.8,5983812,2015,Jun
2015-06-29 00:00:00+05:30,64.15,65.65,62.5,62.6,10340718,2015,Jun
2015-06-30 00:00:00+05:30,64.25,64.95,63.9,64.25,7094376,2015,Jun
2015-07-01 00:00:00+05:30,65.3,66.0,63.85,63.85,12141576,2015,Jul
2015-07-02 00:00:00+05:30,68.75,69.15,65.5,65.5,20256828,2015,Jul
2015-07-03 00:00:00+05:30,69.55,69.85,67.95,68.9,15347676,2015,Jul
2015-07-06 00:00:00+05:30,71.05,71.35,69.7,69.95,15102546,2015,Jul
2015-07-07 00:00:00+05:30,71.2,72.25,70.35,71.65,12141234,2015,Jul
2015-07-08 00:00:00+05:30,71.55,73.05,70.85,71.15,14149158,2015,Jul
2015-07-09 00:00:00+05:30,69.75,71.75,69.0,71.7,15148260,2015,Jul
2015-07-10 00:00:00+05:30,70.05,70.9,68.8,69.2,12005454,2015,Jul
2015-07-13 00:00:00+05:30,70.8,71.65,70.05,70.15,8546928,2015,Jul
2015-07-14 00:00:00+05:30,73.15,73.45,70.45,70.75,14065212,2015,Jul
2015-07-15 00:00:00+05:30,72.15,73.45,71.7,73.35,9633312,2015,Jul
2015-07-16 00:00:00+05:30,73.65,74.9,71.85,71.85,14481480,2015,Jul
2015-07-17 00:00:00+05:30,73.15,74.5,73.0,73.7,10058796,2015,Jul
2015-07-20 00:00:00+05:30,74.2,74.95,73.45,73.95,11652756,2015,Jul
2015-07-21 00:00:00+05:30,73.1,74.85,72.85,74.85,4278222,2015,Jul
2015-07-22 00:00:00+05:30,74.65,75.35,73.05,73.5,15424716,2015,Jul
2015-07-23 00:00:00+05:30,75.8,76.55,74.85,75.0,11716740,2015,Jul
2015-07-24 00:00:00+05:30,76.25,77.65,75.65,76.15,12320868,2015,Jul
2015-07-27 00:00:00+05:30,75.95,77.5,75.6,76.3,6918564,2015,Jul
2015-07-28 00:00:00+05:30,74.35,76.8,73.85,76.65,10706766,2015,Jul
2015-07-29 00:00:00+05:30,74.7,76.0,73.75,74.2,8271138,2015,Jul
2015-07-30 00:00:00+05:30,74.3,75.3,73.9,74.85,15549192,2015,Jul
2015-07-31 00:00:00+05:30,71.9,74.5,71.35,74.35,12125826,2015,Jul
2015-08-03 00:00:00+05:30,70.85,73.3,70.1,72.85,21039762,2015,Aug
2015-08-04 00:00:00+05:30,70.85,72.15,70.2,71.65,10459602,2015,Aug
2015-08-05 00:00:00+05:30,70.55,71.95,70.25,71.05,7708554,2015,Aug
2015-08-06 00:00:00+05:30,69.85,71.55,69.3,70.85,8402634,2015,Aug
2015-08-07 00:00:00+05:30,71.05,72.1,69.25,70.5,22889706,2015,Aug
2015-08-10 00:00:00+05:30,71.65,73.5,71.1,71.7,17108502,2015,Aug
2015-08-11 00:00:00+05:30,69.8,72.8,69.45,71.65,11505576,2015,Aug
2015-08-12 00:00:00+05:30,64.75,70.6,63.25,70.6,22295340,2015,Aug
2015-08-13 00:00:00+05:30,65.8,67.0,63.0,64.25,33605520,2015,Aug
2015-08-14 00:00:00+05:30,64.95,66.15,64.25,66.15,12514164,2015,Aug
2015-08-17 00:00:00+05:30,64.15,65.9,63.6,65.35,9478668,2015,Aug
2015-08-18 00:00:00+05:30,66.7,67.25,64.5,64.65,16722918,2015,Aug
2015-08-19 00:00:00+05:30,66.35,67.45,65.85,66.5,8582496,2015,Aug
2015-08-20 00:00:00+05:30,66.3,67.7,65.45,67.0,12475224,2015,Aug
2015-08-21 00:00:00+05:30,65.8,66.15,63.9,66.0,11272152,2015,Aug
