date,close,high,low,open,volume,year,month
2015-01-01 00:00:00+05:30,40.45,40.6,39.7,39.7,25314990,2015,Jan
2015-01-02 00:00:00+05:30,41.05,41.3,40.6,40.6,34339800,2015,Jan
2015-01-05 00:00:00+05:30,41.65,42.15,41.3,41.3,52056450,2015,Jan
2015-01-06 00:00:00+05:30,39.65,41.4,39.45,41.4,61706810,2015,Jan
2015-01-07 00:00:00+05:30,38.9,39.8,38.35,39.8,47490990,2015,Jan
2015-01-08 00:00:00+05:30,39.5,39.65,39.05,39.4,31699170,2015,Jan
2015-01-09 00:00:00+05:30,39.95,40.5,39.5,40.2,50610000,2015,Jan
2015-01-12 00:00:00+05:30,39.65,39.95,39.3,39.95,26909820,2015,Jan
2015-01-13 00:00:00+05:30,39.15,39.9,39.0,39.7,30027480,2015,Jan
2015-01-14 00:00:00+05:30,37.7,39.15,37.55,39.15,71295620,2015,Jan
2015-01-15 00:00:00+05:30,38.45,38.85,37.2,37.9,70113410,2015,Jan
2015-01-16 00:00:00+05:30,38.35,38.55,37.65,38.2,45385170,2015,Jan
2015-01-19 00:00:00+05:30,38.45,38.7,38.05,38.45,27898250,2015,Jan
2015-01-20 00:00:00+05:30,40.2,40.35,38.55,38.55,60178820,2015,Jan
2015-01-21 00:00:00+05:30,39.7,40.6,39.35,40.5,38977270,2015,Jan
2015-01-22 00:00:00+05:30,40.35,40.45,39.6,39.8,45277090,2015,Jan
2015-01-23 00:00:00+05:30,40.3,41.2,39.9,41.0,45265810,2015,Jan
2015-01-27 00:00:00+05:30,39.85,40.4,39.55,40.3,39723110,2015,Jan
2015-01-28 00:00:00+05:30,39.1,39.7,38.9,39.7,39954480,2015,Jan
2015-01-29 00:00:00+05:30,39.05,39.25,38.35,39.05,51629460,2015,Jan
2015-01-30 00:00:00+05:30,39.05,39.5,38.65,39.25,36008130,2015,Jan
2015-02-02 00:00:00+05:30,38.4,39.5,38.2,39.0,31790200,2015,Feb
2015-02-03 00:00:00+05:30,38.1,38.75,37.8,38.7,34436350,2015,Feb
2015-02-04 00:00:00+05:30,38.9,39.35,38.3,38.4,44205020,2015,Feb
2015-02-05 00:00:00+05:30,37.9,39.3,37.8,39.15,31021430,2015,Feb
2015-02-06 00:00:00+05:30,36.85,38.05,36.7,38.0,45194350,2015,Feb
2015-02-09 00:00:00+05:30,34.75,36.15,34.6,35.7,75357730,2015,Feb
2015-02-10 00:00:00+05:30,35.75,36.0,34.5,34.5,52812260,2015,Feb
2015-02-11 00:00:00+05:30,36.5,36.85,35.3,36.0,39566570,2015,Feb
2015-02-12 00:00:00+05:30,36.55,36.75,35.6,36.6,34156920,2015,Feb
2015-02-13 00:00:00+05:30,36.65,37.2,36.5,36.85,37364660,2015,Feb
2015-02-16 00:00:00+05:30,37.0,37.45,36.85,36.85,29913700,2015,Feb
2015-02-18 00:00:00+05:30,36.75,37.2,36.45,37.2,32326680,2015,Feb
2015-02-19 00:00:00+05:30,37.5,38.0,36.8,36.8,77526260,2015,Feb
2015-02-20 00:00:00+05:30,37.45,38.2,37.3,37.8,34424010,2015,Feb
2015-02-23 00:00:00+05:30,36.75,37.7,36.5,37.65,30851810,2015,Feb
2015-02-24 00:00:00+05:30,35.9,37.0,35.7,36.8,32881270,2015,Feb
2015-02-25 00:00:00+05:30,35.1,36.5,35.0,36.3,39323490,2015,Feb
2015-02-26 00:00:00+05:30,34.5,35.5,34.4,35.25,80643650,2015,Feb
2015-02-27 00:00:00+05:30,35.05,35.45,34.6,34.75,50146780,2015,Feb
2015-03-02 00:00:00+05:30,35.25,35.9,34.9,35.75,43803140,2015,Mar
2015-03-03 00:00:00+05:30,35.3,35.8,34.95,35.3,51211040,2015,Mar
2015-03-04 00:00:00+05:30,34.8,35.7,34.55,35.6,46733290,2015,Mar
2015-03-05 00:00:00+05:30,34.3,34.9,34.1,34.85,47701350,2015,Mar
2015-03-09 00:00:00+05:30,33.65,34.35,33.5,34.3,43687650,2015,Mar
2015-03-10 00:00:00+05:30,33.15,33.9,33.0,33.8,40918480,2015,Mar
2015-03-11 00:00:00+05:30,32.55,33.5,32.4,33.3,46822700,2015,Mar
2015-03-12 00:00:00+05:30,33.3,33.65,32.75,32.75,43245210,2015,Mar
2015-03-13 00:00:00+05:30,32.65,33.65,32.5,33.6,32796740,2015,Mar
2015-03-16 00:00:00+05:30,32.6,32.9,32.3,32.9,27771000,2015,Mar
2015-03-17 00:00:00+05:30,33.25,33.65,32.7,33.0,43290670,2015,Mar
2015-03-18 00:00:00+05:30,33.15,33.55,32.95,33.55,30996930,2015,Mar
2015-03-19 00:00:00+05:30,33.65,34.5,33.35,33.4,61487380,2015,Mar
2015-03-20 00:00:00+05:30,32.85,34.15,32.7,33.65,57761310,2015,Mar
2015-03-23 00:00:00+05:30,33.15,33.5,32.85,33.05,35803300,2015,Mar
2015-03-24 00:00:00+05:30,32.7,33.4,32.4,33.0,44537400,2015,Mar
2015-03-25 00:00:00+05:30,32.3,32.9,32.2,32.8,35447810,2015,Mar
2015-03-26 00:00:00+05:30,31.55,32.5,31.4,32.3,65169940,2015,Mar
2015-03-27 00:00:00+05:30,31.5,31.95,31.1,31.75,40192040,2015,Mar
2015-03-30 00:00:00+05:30,32.25,32.5,31.5,31.8,29905790,2015,Mar
2015-03-31 00:00:00+05:30,31.65,32.65,31.5,32.65,39348980,2015,Mar
2015-04-01 00:00:00+05:30,32.35,32.5,31.6,31.7,30860610,2015,Apr
2015-04-06 00:00:00+05:30,31.8,32.55,31.65,32.45,36696740,2015,Apr
2015-04-07 00:00:00+05:30,33.35,33.5,31.7,32.05,72937230,2015,Apr
2015-04-08 00:00:00+05:30,33.6,33.9,32.85,33.6,62847270,2015,Apr
2015-04-09 00:00:00+05:30,34.6,34.75,33.7,33.75,61515080,2015,Apr
2015-04-10 00:00:00+05:30,34.25,34.9,34.1,34.55,48162280,2015,Apr
2015-04-13 00:00:00+05:30,34.5,34.8,34.1,34.4,34428980,2015,Apr
2015-04-15 00:00:00+05:30,33.75,34.5,33.6,34.5,31999630,2015,Apr
2015-04-16 00:00:00+05:30,33.75,34.35,33.35,33.85,37707390,2015,Apr
2015-04-17 00:00:00+05:30,34.6,35.2,33.5,33.65,69807720,2015,Apr
2015-04-20 00:00:00+05:30,34.45,35.45,33.9,34.85,62669560,2015,Apr
2015-04-21 00:00:00+05:30,34.8,35.2,34.35,34.65,49950680,2015,Apr
2015-04-22 00:00:00+05:30,35.15,35.45,34.1,35.0,47843220,2015,Apr
2015-04-23 00:00:00+05:30,36.95,37.1,35.45,35.5,121922780,2015,Apr
2015-04-24 00:00:00+05:30,37.05,37.5,36.25,37.2,84586180,2015,Apr
2015-04-27 00:00:00+05:30,36.9,37.3,36.15,36.9,49965520,2015,Apr
2015-04-28 00:00:00+05:30,37.1,37.4,36.6,37.0,41599000,2015,Apr
2015-04-29 00:00:00+05:30,37.0,37.95,36.8,37.2,54523860,2015,Apr
2015-04-30 00:00:00+05:30,36.05,36.9,35.9,36.8,61801640,2015,Apr
2015-05-04 00:00:00+05:30,36.15,36.7,35.7,36.15,32684550,2015,May
2015-05-05 00:00:00+05:30,38.0,38.1,36.3,36.45,76651500,2015,May
2015-05-06 00:00:00+05:30,36.75,38.45,36.6,38.1,59989710,2015,May
2015-05-07 00:00:00+05:30,36.75,37.05,36.05,36.6,41408280,2015,May
